,index,name,Coordinates,lat,lon
667,667,Heliport Hospital Sant Joan de DÃ©u,"41.3844087, 2.1026550999999998",41.3844087, 2.1026550999999998
668,668,Audax Helicopters,"41.3637865, 2.183135",41.3637865, 2.183135
669,669,VIP YACHTING SERVICES,"41.37557, 2.187711",41.37557, 2.187711
670,670,Aeroports de Catalunya,"41.3911349, 2.2021034",41.3911349, 2.2021034
671,671,BCN,"41.4069832, 2.1802681",41.4069832, 2.1802681
672,672,Heliport del Circuit de Barcelona-Catalunya [LETA],"41.5743575, 2.2578818",41.5743575, 2.2578818
673,673,Base d'helicÃ²pters El Montmell - Can Roca Vidal,"41.36062889999999, 1.5672764",41.36062889999999, 1.5672764
674,674,Campo de Vuelo de Bellvei,"41.2447019, 1.5632516",41.2447019, 1.5632516
675,675,Heathrow Airport,"51.4700223, -0.45429549999999996",51.4700223, -0.45429549999999996
676,676,Gatwick Airport,"51.1536621, -0.1820629",51.1536621, -0.1820629
677,677,London Biggin Hill Airport,"51.3319582, 0.029057399999999",51.3319582, 0.029057399999999
678,678,London City Airport,"51.5048437, 0.049518000000000006",51.5048437, 0.049518000000000006
679,679,LivingWell Health Club - Heathrow,"51.458645, -0.44154899999999997",51.458645, -0.44154899999999997
680,680,Brighton City Airport,"50.8356003, -0.2941624",50.8356003, -0.2941624
681,681,West End Lane mini cabs ltd,"51.5473443, -0.19097129999999998",51.5473443, -0.19097129999999998
682,682,Farnborough Airport,"51.283078, -0.777388299999999",51.283078, -0.777388299999999
683,683,Dunsfold Aerodrome,"51.1200924, -0.5344900999999991",51.1200924, -0.5344900999999991
684,684,BIH - Onshore,"51.21651480000001, -0.1439705",51.21651480000001, -0.1439705
685,685,London Heliport,"51.469454, -0.17856249999999999",51.469454, -0.17856249999999999
686,686,Redhill Aerodrome,"51.2161202, -0.1428381",51.2161202, -0.1428381
687,687,The London Helicopter,"51.469688, -0.178785",51.469688, -0.178785
688,688,RAF Northolt,"51.5540305, -0.4171726",51.5540305, -0.4171726
689,689,Sams Car's,"51.5586071, -0.0745197",51.5586071, -0.0745197
690,690,MULTI HEATHROW CARS,"51.485167, -0.37349299999999996",51.485167, -0.37349299999999996
